car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine_cc,Seats,company_name,car_prices_in_rupee
1095,62000,4,1,1,2016,1199,5,30,67500
1034,50000,1,1,2,2009,2179,7,28,25000
1749,100000,1,1,3,2012,2179,7,17,69500
364,75000,4,1,5,2006,1497,5,8,27500
1744,120000,1,1,2,2014,2179,7,17,65000
189,37000,1,0,2,2016,2143,5,20,174500
1128,64000,1,0,1,2018,1968,5,0,310000
634,79000,1,1,2,2015,1364,5,29,69500
658,80000,4,1,1,2007,1388,5,7,18000
302,14000,4,1,1,2014,998,5,18,47500
313,28217,4,0,2,2018,998,5,18,52500
1648,90000,4,1,2,2003,998,5,18,14000
353,120000,4,1,2,2005,999,5,8,18500
1526,26000,4,1,1,2021,2987,5,30,104500
706,100000,1,0,2,2013,1086,7,20,300000
1273,50000,4,1,1,2019,1461,5,9,50000
501,70000,1,1,1,2019,1198,5,26,87500
120,80000,4,1,3,2016,1196,5,8,36200
676,157000,4,1,3,2010,2184,5,7,18000
1481,15550,1,1,1,2021,1248,4,17,174500
609,80000,1,1,1,2017,2179,7,18,80000
1732,59432,1,0,1,2017,1598,7,17,139500
1171,53047,4,1,1,2020,1598,5,27,104500
1539,46464,4,1,1,2016,998,5,30,77500
1794,70000,4,1,4,2007,1461,5,18,12000
501,23000,1,1,2,2019,2199,5,26,107500
294,30000,1,0,1,2020,2143,7,13,345000
714,22000,1,0,1,2018,2596,5,20,487500
774,35000,1,1,2,2018,1582,7,6,92000
454,80000,1,1,1,2016,1799,5,9,105000
400,100000,4,0,4,2006,1173,5,8,20000
1183,95000,4,1,1,2014,2523,5,25,35000
916,100000,1,1,1,1995,1199,6,17,26000
224,50000,4,1,3,2012,1197,5,3,18000
1187,64000,4,1,1,2015,1496,5,18,52500
558,15509,4,0,2,2020,1498,5,7,108500
547,43203,1,1,2,2018,1086,5,7,96500
1813,80000,4,1,1,2007,1493,5,9,26600
474,50000,1,1,1,2020,998,5,9,179500
314,40000,4,0,2,2017,1498,5,18,46000
1157,111000,1,1,1,2020,1298,5,27,99500
629,73000,4,1,2,2006,2982,5,18,12000
694,220000,1,1,2,2014,1197,7,29,167500
750,11717,4,1,2,2017,2143,5,9,53500
719,46000,1,0,2,2019,1197,5,20,565000
767,15000,4,1,1,2021,1248,5,9,64800
619,110000,1,1,2,2013,2179,7,18,59500
1732,66968,1,0,1,2016,1248,7,17,142500
1408,120000,1,1,2,2015,2523,5,18,50000
245,70000,1,1,1,2018,1197,7,17,73500
1398,47000,4,0,2,2017,1298,5,18,75500
1451,110000,4,1,4,2006,1199,5,18,25000
1103,81000,1,1,2,2012,1497,5,30,49500
359,70000,4,0,3,2005,1497,5,8,22500
475,12662,4,1,1,2021,1591,5,9,159500
458,14000,4,1,1,2018,1591,5,9,102500
1581,56000,4,1,2,2014,1248,5,9,57500
1625,54000,1,1,1,2019,1197,5,18,99600
1879,63000,4,1,1,2020,1797,5,9,77500
587,40000,4,1,2,2013,1061,5,9,52000
1791,60000,4,1,2,2008,1498,5,18,21000
544,80000,1,1,2,2013,1248,5,7,60000
609,120000,1,1,1,2016,1462,7,18,65000
1519,15000,4,1,2,2022,1298,5,29,58500
1426,295000,4,1,2,2009,1248,5,18,29200
204,60000,1,1,3,2017,1498,5,18,65000
1291,50000,4,0,1,2014,1198,5,26,42500
258,55000,4,1,2,2014,1499,5,8,44500
563,77000,4,0,2,2014,1197,5,7,67500
1885,33389,4,1,1,2015,1396,5,9,53300
1570,17526,4,1,1,2014,1197,5,9,53600
748,15757,4,1,1,2018,1197,5,9,56400
1825,8183,4,1,1,2012,1197,5,9,27800
203,32590,4,1,1,2017,1497,5,18,58300
